price_today,price_next_day,prediction,capital,profit
47771.27734375,48293.91796875,1,1.7736176502885214e-09,2.1326923790501227e-11
48293.91796875,49958.22265625,1,1.4861394406926907e-09,5.5010159954431474e-11
49958.22265625,49742.44140625,0,1.208972323908469e-09,5.777085497099163e-12
49742.44140625,51826.6953125,1,1.0202997920063299e-09,4.559134404496648e-11
51826.6953125,51938.5546875,0,8.2465909096343e-10,-1.98193395744139e-12
51938.5546875,52160.203125,0,6.651232767884941e-10,-3.1673187687601295e-12
52160.203125,51662.99609375,1,5.336143255859839e-10,-5.706142902996053e-12
51662.99609375,52122.546875,1,4.3607233879593543e-10,4.271927856987126e-12
52122.546875,51779.14453125,0,3.555457273154396e-10,2.5857032119242823e-12
51779.14453125,52284.875,1,2.9080487719499776e-10,3.1253756327685035e-12
52284.875,51839.1796875,0,2.375598811235657e-10,2.231033995130595e-12
51839.1796875,51304.97265625,0,1.944064438198538e-10,2.203266788628438e-12
51304.97265625,50731.94921875,0,1.5922798767547244e-10,1.9541868682120674e-12
50731.94921875,51571.1015625,0,1.2684131227519796e-10,-2.370397491038586e-12
51571.1015625,51733.23828125,0,1.024184494105942e-10,-3.5890392479572553e-13
51733.23828125,54522.40234375,0,8.129976514212968e-11,-1.8435320893906957e-12
54522.40234375,57085.37109375,0,6.453575356982255e-11,-1.4633957725583345e-12
57085.37109375,62504.7890625,1,5.488765841113408e-11,2.9041089106420146e-12
62504.7890625,61198.3828125,0,4.53882364272816e-11,1.03248123806999e-12
61198.3828125,62440.6328125,1,3.751074391771355e-11,8.291915684616197e-13
62440.6328125,62029.84765625,1,3.0183813919968606e-11,-2.220985037548546e-13
62029.84765625,63167.37109375,1,2.489724092558446e-11,4.981685004554285e-13
63167.37109375,68330.4140625,0,1.9763429846728946e-11,-4.481503366605203e-13
68330.4140625,63801.19921875,1,1.5688210612333438e-11,-3.5574173724112104e-13
63801.19921875,66106.8046875,0,1.2453301584070284e-11,-2.8238779102200187e-13
66106.8046875,66925.484375,0,9.962252730332705e-12,-1.3880172529358307e-13
66925.484375,68300.09375,0,7.9080362173381e-12,-1.793205491459887e-13
68300.09375,68498.8828125,0,6.386865947347969e-12,-2.0714876328769587e-14
68498.8828125,69019.7890625,0,5.134020099871044e-12,-4.3712574978679034e-14
69019.7890625,72123.90625,0,4.075385155277635e-12,-9.24123617976788e-14
72123.90625,71481.2890625,0,3.3304741259610183e-12,3.268016687348223e-14
71481.2890625,73083.5,0,2.6437303611878564e-12,-5.994853426729833e-14
73083.5,71396.59375,0,2.1908496778122965e-12,5.4920094722369583e-14
71396.59375,69403.7734375,0,1.8241205108537228e-12,5.503585758418038e-14
69403.7734375,65315.1171875,0,1.5514144944810913e-12,8.208542298841753e-14
65315.1171875,68390.625,0,1.2315128257190902e-12,-2.7925460900659643e-14
68390.625,67548.59375,0,1.0098070071107774e-12,1.3646242531460268e-14
67548.59375,61912.7734375,0,8.588408595477162e-13,4.544131531998498e-14
61912.7734375,67913.671875,0,6.817478743089771e-13,-1.545913547185889e-14
67913.671875,65491.390625,0,5.719116934387717e-13,2.1884350276111364e-14
65491.390625,63778.76171875,0,4.753626246422016e-13,1.3460169951996128e-14
